VehicleId,purpose
1247,Dril_Blast
1560,Dril_Blast
2518,Dril_Blast
2519,Dril_Blast
2546,Dril_Blast
2603,Dril_Blast
2884,Dril_Blast
2887,Dril_Blast
2902,Dril_Blast
2941,Dril_Blast
2967,Dril_Blast
3525,Dril_Blast
13665,Dril_Blast
13681,Dril_Blast
13684,Dril_Blast
13688,Dril_Blast
13692,Dril_Blast
13736,Dril_Blast
13752,Dril_Blast
13769,Dril_Blast
13772,Dril_Blast
13868,Dril_Blast
13869,Dril_Blast
13873,Dril_Blast
1236,Fixed_plant
1241,Fixed_plant
2242,Fixed_plant
2897,Fixed_plant
2899,Fixed_plant
3016,Fixed_plant
3017,Fixed_plant
3019,Fixed_plant
3034,Fixed_plant
3825,Fixed_plant
3962,Fixed_plant
3966,Fixed_plant
3968,Fixed_plant
3969,Fixed_plant
3970,Fixed_plant
11933,Fixed_plant
12017,Fixed_plant
13676,Fixed_plant
13863,Fixed_plant
155,Mobile_Eq
906,Mobile_Eq
1181,Mobile_Eq
1206,Mobile_Eq
1350,Mobile_Eq
1421,Mobile_Eq
1571,Mobile_Eq
1576,Mobile_Eq
1577,Mobile_Eq
1688,Mobile_Eq
1785,Mobile_Eq
1786,Mobile_Eq
1787,Mobile_Eq
1988,Mobile_Eq
2231,Mobile_Eq
2615,Mobile_Eq
2779,Mobile_Eq
2780,Mobile_Eq
2785,Mobile_Eq
2948,Mobile_Eq
2963,Mobile_Eq
3021,Mobile_Eq
3060,Mobile_Eq
3119,Mobile_Eq
3216,Mobile_Eq
3244,Mobile_Eq
3315,Mobile_Eq
3522,Mobile_Eq
3523,Mobile_Eq
3959,Mobile_Eq
3967,Mobile_Eq
4217,Mobile_Eq
4218,Mobile_Eq
4219,Mobile_Eq
4315,Mobile_Eq
13151,Mobile_Eq
13643,Mobile_Eq
13705,Mobile_Eq
13866,Mobile_Eq
1311,Production
1312,Production
1422,Production
1423,Production
1424,Production
1573,Production
1574,Production
1575,Production
1578,Production
1579,Production
1687,Production
2191,Production
2605,Production
2886,Production
2889,Production
2890,Production
2894,Production
2916,Production
2918,Production
2919,Production
2921,Production
2964,Production
2965,Production
2966,Production
2969,Production
2970,Production
2972,Production
2979,Production
3020,Production
3965,Production
3971,Production
4647,Production
4648,Production
4649,Production
10669,Production
13635,Production
13689,Production
13695,Production
13704,Production
13744,Production
13780,Production
13874,Production
13875,Production
13884,Production
1261,Rail
1359,Rail
1363,Rail
1617,Rail
1623,Rail
1667,Rail
1668,Rail
1994,Rail
2579,Rail
2705,Rail
2764,Rail
2841,Rail
4411,Rail
4646,Rail
12129,Rail
190,Support
689,Support
1007,Support
1506,Support
1686,Support
1866,Support
1935,Support
2517,Support
3398,Support
3957,Support
3960,Support
3961,Support
3963,Support
3964,Support
8065,Support
12029,Support
12179,Support
1993,Tech_services
2201,Tech_services
2241,Tech_services
2433,Tech_services
2450,Tech_services
2748,Tech_services
2920,Tech_services
2968,Tech_services
2973,Tech_services
3381,Tech_services
3451,Tech_services
3452,Tech_services
3613,Tech_services
3663,Tech_services
3958,Tech_services
4275,Tech_services
11714,Tech_services
12026,Tech_services
12463,Tech_services
14126,Tech_services
787,Ghosts
10680,Ghosts
10895,Ghosts
11110,Ghosts
11231,Ghosts
11728,Ghosts
11784,Ghosts
11931,Ghosts
11965,Ghosts
11981,Ghosts
12019,Ghosts
12117,Ghosts
12124,Ghosts
12175,Ghosts
12189,Ghosts
12254,Ghosts
12259,Ghosts
12260,Ghosts
12263,Ghosts
12450,Ghosts
12458,Ghosts
12459,Ghosts
12543,Ghosts
13288,Ghosts
13367,Ghosts
